id,area,mean,std,min,max,median,side,rnai,img,date
1,7071.281,103.177,68.407,4,255,86,a,osa,o1,8/29/23
2,7071.281,23.64,10.748,0,83,22,p,osa,o1,8/29/23
3,9886.686,84.33,55.353,3,255,69,a,osa,n1,8/29/23
4,9886.686,22.005,9.65,0,105,20,p,osa,n1,8/29/23
1,8368.091,116.408,66.491,9,255,99,a,osa,m1,8/29/23
2,8368.091,30.997,10.641,6,125,29,p,osa,m1,8/29/23
3,7856.405,131.679,64.796,10,255,118,a,osa,l1,8/29/23
4,7856.405,31.664,12.438,6,125,29,p,osa,l1,8/29/23
5,8150.071,107.98,57.996,17,255,92,a,osa,j1,8/29/23
6,8150.071,32.772,10.589,6,142,31,p,osa,j1,8/29/23
7,7856.405,120.833,69.454,11,255,101,a,osa,i1,8/29/23
8,7856.405,32.124,11.313,7,94,30,p,osa,i1,8/29/23
9,7480.497,93.948,52.147,8,255,83,a,osa,g1,8/29/23
10,7480.497,23.274,9.273,0,87,22,p,osa,g1,8/29/23
11,7480.497,83.64,49.51,4,255,73,a,osa,f1,8/29/23
12,7480.497,24.512,10.116,0,79,23,p,osa,f1,8/29/23
13,6839.619,87.303,56.555,9,255,71,a,osa,e1,8/29/23
14,6839.619,24.789,9.25,4,84,23,p,osa,e1,8/29/23
15,6735.596,95.299,57.871,5,255,79,a,osa,a1,8/29/23
16,6735.596,23.524,9.722,1,98,22,p,osa,a1,8/29/23
1,8729.97,89.343,46.447,13,255,78,a,luc,i1,8/29/23
2,8729.97,63.843,21.657,14,227,60,p,luc,i1,8/29/23
5,2792.162,104.639,52.856,20,255,89,a,luc,c2,8/29/23
6,2792.162,62.024,17.712,19,158,59,p,luc,c2,8/29/23
7,9003.422,98.898,54.799,15,255,83,a,luc,h2,8/29/23
8,9003.422,73.362,25.04,10,255,70,p,luc,h2,8/29/23
9,6632.37,88.454,47.301,13,255,76,a,luc,g1,8/29/23
10,6632.37,66.493,25.735,20,255,61,p,luc,g1,8/29/23
12,6128.197,83.053,48.099,14,255,69,a,luc,f2,8/29/23
13,6128.197,55.518,20.773,7,204,52,p,luc,f2,8/29/23
14,4648.757,87.171,52.589,18,255,70,a,luc,e1,8/29/23
15,4648.757,56.991,17.707,19,174,54,p,luc,e1,8/29/23
16,5932.107,84.112,42.348,18,255,72,a,luc,d1,8/29/23
17,5932.107,66.807,21.124,22,255,63,p,luc,d1,8/29/23
18,6735.596,68.211,33.736,14,255,60,a,luc,b2,8/29/23
19,6735.596,54.848,18.021,15,240,52,p,luc,b2,8/29/23
20,4419.228,60.345,32.051,9,255,52,a,luc,a2,8/29/23
21,4419.228,43.222,13.408,13,150,41,p,luc,a2,8/29/23
