measurement,area,mean,sd,min,max,med,date,genotype,img,side
1,2138.109,91.098,26.532,32,255,86,230503,lexA,d1,a
2,1834.325,80.711,18.903,37,251,78,230503,lexA,d1,p
3,1860.798,83.655,26.405,34,255,79,230503,lexA,e1,a
4,1018.532,83.533,22.985,36,211,80,230503,lexA,e1,p
5,3752.407,90.847,29.019,29,255,86,230503,lexA,g1,a
6,2577.862,80.33,21.231,31,198,77,230503,lexA,g1,p
7,2193.255,86.586,22.008,41,214,83,230503,lexA,h1,a
8,1249.075,78.866,18.533,36,174,76,230503,lexA,h1,p
9,1874.554,82.363,25.227,31,229,78,230503,lexA,k1,a
10,1267.845,81.149,21.432,37,245,78,230503,lexA,k1,p
11,1740.595,96.837,32.967,35,255,91,230503,osa,a1,a
12,1140.22,79.334,26.831,30,240,74,230503,osa,a1,p
13,1590.929,101.607,29.19,33,255,96,230503,osa,b1,a
14,1214.403,85.137,21.958,38,228,82,230503,osa,b1,p
15,1766.02,92.336,26.923,39,255,87,230503,osa,c1,a
16,1392.567,73.045,19.894,30,216,70,230503,osa,c1,p
17,2271.853,144.774,45.303,53,255,135,230503,osa,d1,a
18,1376.139,120.124,33.63,52,255,113,230503,osa,d1,p
19,1729.534,92.152,25.524,34,255,88,230503,osa,e1,a
20,1176.137,73.924,18.244,35,184,71,230503,osa,e1,p
21,2129.157,109.284,30.988,44,255,103,230503,osa,g1,a
22,1429.817,83.491,19.674,38,241,81,230503,osa,g1,p
23,2273.938,100.503,31.306,34,255,95,230503,osa,h1,a
24,1459.912,76.496,20.034,30,193,73,230503,osa,h1,p
25,2153.997,110.344,33.543,39,255,105,230503,osa,i1,a
26,1129.907,79.626,20.266,33,198,77,230503,osa,i1,p
27,2977.44,111.482,31.95,39,255,106,230503,osa,j1,a
28,1968.37,87.715,19.334,42,200,85,230503,osa,j1,p
29,2045.455,108.66,42.305,26,255,100,230508,lexA,a1,a
30,1167.678,87.672,24.627,38,255,84,230508,lexA,a1,p
31,1708.419,91.622,24.257,39,224,89,230508,lexA,b1,a
32,1050.814,82.364,19.378,35,170,80,230508,lexA,b1,p
33,2049.651,83.722,25.745,32,255,79,230508,lexA,d1,a
34,1391.077,73.796,17.929,31,165,71,230508,lexA,d1,p
35,2704.997,75.325,22.824,26,209,71,230508,lexA,e1,a
36,1642.239,69.45,16.864,32,159,67,230508,lexA,e1,p
37,2281.123,107.383,31.649,45,255,102,230508,lexA,g1,a
38,1319.087,95.303,19.891,46,222,93,230508,lexA,g1,p
39,2608.148,81.673,22.449,31,210,78,230508,lexA,h1,a
40,1757.167,80.752,18.303,36,189,78,230508,lexA,h1,p
41,2873.515,96.287,28.773,27,255,92,230508,lexA,i1,a
42,1607.373,88.312,20.085,42,193,86,230508,lexA,i1,p
43,2075.801,132.241,38.022,48,255,126,230508,lexA,j1,a
44,1217.717,108.883,25.189,48,232,105,230508,lexA,j1,p
45,4827.286,102.509,32.724,33,255,98,230508,osa,a1,a
46,3015.883,69.891,17.687,26,176,68,230508,osa,a1,p
47,2911.286,102.078,31.721,34,255,96,230508,osa,b1,a
48,2182.658,73.367,19.741,22,183,71,230508,osa,b1,p
49,5692.579,85.682,26.601,26,255,82,230508,osa,c1,a
50,2924.207,66.826,16.811,25,151,65,230508,osa,c1,p
51,3300.444,89.021,26.786,27,255,85,230508,osa,d1,a
52,2253.437,70.956,17.265,29,190,69,230508,osa,d1,p
53,4675.862,103.507,29.012,34,255,99,230508,osa,e1,a
54,2128.29,84.873,20.993,32,194,83,230508,osa,e1,p
55,3786.683,126.258,34.326,48,255,121,230508,osa,f1,a
56,2072.493,98.828,20.935,45,212,97,230508,osa,f1,p
57,4952.062,123.971,38.804,33,255,118,230508,osa,g1,a
58,2406.483,87.898,22.709,32,204,84,230508,osa,g1,p
59,5817.327,134.566,39.283,38,255,129,230508,osa,h1,a
60,2493.368,94.736,21.788,43,200,92,230508,osa,h1,p
61,4609.303,125.597,34.212,46,255,121,230508,osa,i1,a
62,2234.705,104.79,28.544,44,255,100,230508,osa,i1,p
63,3931.359,126.415,35.014,50,255,121,230508,osa,j1,a
64,2402.099,101.955,28.846,36,255,97,230508,osa,j1,p
65,4226.689,112.68,28.993,42,255,109,230508,osa,k1,a
66,1981.622,85.332,19.471,41,199,83,230508,osa,k1,p
67,1900.826,75.717,17.654,36,185,74,230508,lexA,f1,a
68,1316.18,70.167,14.965,31,154,69,230508,lexA,f1,p
69,1558.303,77.748,20.173,29,195,75,230508,lexA,c1,a
70,1104.726,77.303,17.623,34,161,75,230508,lexA,c1,p
71,3512.938,92.179,32.314,30,255,86,230503,osa,f1,a
72,1427.525,70.032,17.634,28,209,67,230503,osa,f1,p
73,2494.069,84.328,26.285,31,255,80,230503,lexA,l1,a
74,1339.615,78.024,19.381,37,187,75,230503,lexA,l1,p
75,2189.647,80.309,27.74,24,255,75,230503,lexA,j1,a
76,1323.874,68.44,18.467,29,189,65,230503,lexA,j1,p
77,2457.784,76.847,24.085,29,255,72,230503,lexA,i1,a
78,1221.688,72.019,19.568,30,179,69,230503,lexA,i1,p
79,2848.337,88.006,28.576,31,255,83,230503,lexA,f1,a
80,1410.771,78.526,21.486,31,209,75,230503,lexA,f1,p
81,1435.924,82.856,30.357,29,255,76,230503,lexA,b1,a
82,713.142,74.692,21.035,27,176,71,230503,lexA,b1,p
83,2060.735,96.772,27.593,36,255,92,230503,lexA,a1,a
84,1090.45,88.166,21.447,38,232,85,230503,lexA,a1,p
