meas,area,mean,sd,min,max,median,genotype,date,img,side
1,5739.21,45.17,17.308,7,155,43,lexA,200503,a1,anterior
2,5739.21,37.097,17.725,5,165,33,lexA,200503,a1,posterior
5,6147.993,113.281,40.881,36,255,104,lexA,200503,c1,anterior
6,6147.993,107.272,42.397,29,255,97,lexA,200503,c1,posterior
7,7167.17,89.252,29.981,22,251,85,lexA,200503,d1,anterior
8,7167.17,79.393,32.389,10,255,73,lexA,200503,d1,posterior
9,7167.17,38.249,14.442,8,127,36,lexA,200503,e1,anterior
10,7167.17,33.544,12.665,2,133,32,lexA,200503,e1,posterior
12,4648.766,91.48,31.087,28,237,88,lexA,200503,f1,anterior
13,4648.766,47.575,17.743,14,186,44,lexA,200503,f1,posterior
14,6327.479,102.265,34.22,30,255,96,lexA,200503,g1,anterior
15,6327.479,107.497,38.405,31,255,101,lexA,200503,g1,posterior
16,3827.734,61.172,18.583,17,148,59,lexA,200503,h1,anterior
17,3827.734,41.298,15.06,10,143,39,lexA,200503,h1,posterior
18,5455.842,48.097,18.896,8,184,46,lexA,200503,i1,anterior
19,5455.842,57.778,21.747,12,194,54,lexA,200503,i1,posterior
20,4508.961,34.557,13.489,6,116,33,lexA,200503,j1,anterior
21,4508.961,33.164,13.033,6,125,31,lexA,200503,j1,posterior
22,3169.879,124.26,39.33,31,255,121,lexA,200503,k1,anterior
23,3169.879,109.632,33.354,32,255,105,lexA,200503,k1,posterior
24,3841.955,57.102,19.432,17,182,53,lexA,200503,l1,anterior
25,3841.955,54.952,19.522,14,199,51,lexA,200503,l1,posterior
26,3615.927,111.886,42.223,28,255,105,osa,200503,a1,anterior
27,3615.927,69.657,25.916,12,226,66,osa,200503,a1,posterior
1,4322.636,115.548,47.281,18,255,110,osa,200503,b1,anterior
2,4322.636,47.462,18.778,9,255,44,osa,200503,b1,posterior
19,3533.186,94.275,30.553,28,255,90,osa,200503,c1,anterior
20,3533.186,30.557,11.333,7,109,29,osa,200503,c1,posterior
3,4890.223,107.388,41.763,19,255,102,osa,200503,d1,anterior
4,4890.223,66.337,28.857,11,247,60,osa,200503,d1,posterior
5,3328.408,89.214,35.593,15,255,86,osa,200503,e1,anterior
6,3328.408,37.563,13.47,7,124,35,osa,200503,e1,posterior
7,5263.867,63.373,25.827,15,223,58,osa,200503,f1,anterior
8,5263.867,32.803,12.303,4,111,31,osa,200503,f1,posterior
9,6679.93,114.218,43.388,23,255,108,osa,200503,g1,anterior
10,6679.93,49.117,20.708,11,193,45,osa,200503,g1,posterior
11,5956.448,145.571,58.004,21,255,141,osa,200503,h1,anterior
12,5956.448,54.857,26.123,7,243,48,osa,200503,h1,posterior
13,3965.66,77.726,33.343,11,255,74,osa,200503,i1,anterior
14,3965.66,34.018,11.838,7,107,32,osa,200503,i1,posterior
15,8008.216,156.079,54.257,20,255,152,osa,200503,j1,anterior
16,8008.216,71.047,26.138,9,220,67,osa,200503,j1,posterior
17,18184.114,69.587,37.782,3,255,62,brm,211109,a2,anterior
18,18184.114,48.781,23.882,3,222,45,brm,211109,a2,posterior
21,9699.265,60.921,34.881,3,255,54,brm,211109,d1,anterior
22,9699.265,43.337,23.83,0,196,38,brm,211109,d1,posterior
23,10152.089,70.194,38.501,4,255,63,brm,211109,e1,anterior
24,10152.089,54.071,28.756,5,244,47,brm,211109,e1,posterior
25,9699.265,58.177,28.789,7,212,52,brm,211109,f1,anterior
26,9699.265,50.575,24.184,9,196,46,brm,211109,f1,posterior
27,15248.508,77.29,39.403,6,255,69,brm,211109,b1,anterior
