submitted_item	validated_id	current_symbol
FBgn0010247	FBgn0010247	Parp
FBgn0086378	FBgn0086378	Alg-2
FBgn0263977	FBgn0263977	Tim17b
FBgn0069923	FBgn0069923	CG41128
FBgn0039955	FBgn0039955	CG41099
FBgn0027341	FBgn0287209	Gfat1
FBgn0085812	FBgn0085812	lncRNA:CR41601
FBgn0037213	FBgn0037213	CG12581
FBgn0053294	FBgn0053294	CR33294
FBgn0037215	FBgn0037215	β-Man
FBgn0037217	FBgn0037217	CG14636
FBgn0037218	FBgn0037218	aux
FBgn0261436	FBgn0261436	DhpD
FBgn0037220	FBgn0037220	CG14641
FBgn0015331	FBgn0015331	abs
FBgn0010225	FBgn0010225	Gel
FBgn0037222	FBgn0037222	CG14642
FBgn0085334	FBgn0085334	CG34305
FBgn0037227	FBgn0037227	TwdlV
FBgn0037228	FBgn0037228	CG1092
FBgn0037231	FBgn0037231	Vps24
FBgn0037232	FBgn0037232	Suv3
FBgn0037234	FBgn0037234	CG9795
FBgn0027866	FBgn0027866	CG9776
FBgn0037236	FBgn0037236	Skp2
FBgn0037235	FBgn0037235	CG1103
FBgn0037239	FBgn0037239	Sfxn1-3
FBgn0037240	FBgn0037240	Cont
FBgn0003882	FBgn0003882	tub
FBgn0037241	FBgn0037241	CG14646
FBgn0086608	FBgn0086608	CG34112
FBgn0037242	FBgn0037242	CG9855
FBgn0086605	FBgn0086605	CG9853
FBgn0037244	FBgn0037244	CG14647
FBgn0266697	FBgn0266697	lncRNA:CR45187
FBgn0263594	FBgn0263594	lost
FBgn0037248	FBgn0037248	srl
FBgn0037249	FBgn0037249	eIF3a
FBgn0037250	FBgn0037250	CG1074
FBgn0037252	FBgn0037252	CG14650
FBgn0051522	FBgn0051522	CG31522
FBgn0051523	FBgn0051523	CG31523
FBgn0037255	FBgn0037255	Fip1
FBgn0037261	FBgn0037261	CG9775
FBgn0037262	FBgn0037262	MED31
FBgn0037263	FBgn0037263	slx1
FBgn0040466	FBgn0040466	Dlip2
FBgn0022981	FBgn0022981	rpk
FBgn0087013	FBgn0087013	Karyβ3
FBgn0037265	FBgn0037265	spartin
FBgn0263346	FBgn0263346	smash
FBgn0037270	FBgn0037270	eIF3f1
